0,1,2,3,4,5,6,7,8,9
-0.31089368,0.19091329,-0.09023772,-0.13659112,0.23931044,-0.07233398,-0.20758773,0.13596292,0.2131029,-0.04223081
-0.13713025,-0.30338636,-0.012009825,-0.14716728,-0.007165643,0.2478489,0.17844419,-0.11355321,0.28154486,0.12811057
0.23274311,-0.2976392,0.3232405,-0.18084837,-0.12565851,-0.15671897,0.1941883,-0.2553645,0.22503857,0.262214
-0.005243218,-0.16313966,-0.30468458,-0.025677498,-0.3234274,-0.030055866,-0.17648874,0.09101036,-0.035936993,-0.08601166
0.40525663,0.20432317,0.3279732,-0.21818177,-0.105513915,-0.23821625,-0.06315331,-0.030296821,-0.017244224,-0.09372655
-0.0059136697,0.10911882,0.12957616,-0.064195715,-0.071657926,-0.18260795,0.2953668,0.20682411,0.0008310891,-0.329242
-0.23319001,-0.07066099,0.10112713,-0.3335626,-0.14921066,-0.2863554,-0.120818734,-0.36636892,-0.20519075,-0.24983236
0.0150417145,-0.24359362,-0.16227838,-0.19810903,0.11312163,0.18893705,0.041888345,-0.15903981,-0.16231816,-0.03496725
0.26243934,-0.22666919,0.08208542,0.22193073,0.15172465,-0.2581401,0.029323183,-0.41321403,0.3021248,0.15948439
0.3852231,0.016204719,-0.21238697,-0.057416886,0.19374117,0.004657226,0.043783437,-0.25965533,0.00014307206,-0.14237857
0.043515917,0.18597227,0.21118228,-0.38324824,0.18317217,-0.24780323,-0.15694934,-0.06503831,0.25650156,-0.1846583
0.049066827,-0.26085627,0.26539105,0.015848476,0.044599496,-0.03656636,-0.0887442,0.248288,0.08035007,-0.044384204
0.33237588,0.059461806,0.3451229,-0.20869002,-0.043569267,0.321375,-0.37384576,0.09650484,-0.28167948,0.12884448
-0.02569899,0.080814004,-0.38347426,-0.26411027,-0.14610283,0.030042063,0.041170705,-0.1591903,0.09938485,0.05027062
-0.19994575,0.11704095,-0.12656982,-0.040367972,0.24435464,-0.2882294,0.084587365,-0.29934612,-0.057889912,0.2805708
-0.26526403,-0.3116549,-0.024929715,-0.15946037,0.2610168,0.23238716,-0.0045561977,0.18781734,-0.006006624,-0.20878862
-0.38891348,-0.23225516,0.18387471,-0.074595906,-0.13025369,0.024900878,-0.027846351,0.07761897,-0.1161995,-0.17812337
-0.37679088,-0.2203586,-0.107452035,0.2676847,0.11370452,0.21622428,-0.2796119,-0.18986726,0.12581594,0.12160506
0.14235026,0.1152645,-0.24933496,-0.38814515,-0.07488709,-0.011798933,-0.034819424,-0.20983589,0.31038958,-0.3400495
0.22544599,-0.31642804,-0.11069706,-0.14784798,-0.037873767,-0.23408261,0.13145211,-0.44117025,-0.2929075,-0.028345753
-0.25557247,-0.05096093,-0.03676743,-0.019678786,0.32294685,0.23229656,0.019795055,-0.25078326,0.013016254,-0.000883383
-0.42273712,-0.04900575,0.3041935,0.097513534,0.2318347,0.2831429,-0.12821355,-0.08767546,-0.13071457,-0.3029619
0.08870592,-0.12454022,-0.40154615,0.11987028,-0.2955028,0.15682647,0.15579112,-0.2910888,0.19063544,-0.20169288
0.10483205,-0.3196362,0.1938727,-0.27148685,-0.0585731,0.25410253,-0.037834704,0.15611897,-0.19152106,0.0017737686
-0.2781718,-0.008672584,0.11068719,0.13118449,0.05209982,-0.20534723,-0.3638849,0.14727904,0.21027873,0.291538
-0.32968056,0.24285968,-0.018214727,-0.06362424,-0.0046368586,0.21324979,0.2558256,0.12582068,-0.03260533,-0.17420854
0.11775922,0.09413277,0.23826347,0.28047922,-0.26574513,0.23465686,-0.30759498,0.23653996,-0.21364161,0.14878318
0.23381563,0.13355441,0.14559697,0.029778915,-0.15098949,0.21992856,0.1823656,-0.13732022,0.14678651,-0.30556652
-0.075913005,-0.039889086,-0.22464584,0.3217916,-0.076538056,-0.056712862,-0.2835162,-0.13951063,-0.35399872,0.07329429
0.16997053,-0.27166507,-0.17845193,0.23825553,0.056752644,-0.17265704,-0.41378716,0.051848244,-0.073498905,-0.01984336
0.14446455,-0.12581073,-0.3937738,-0.17655125,0.23869318,-0.138451,0.18075213,0.23529585,-0.09671746,0.109144635
0.083998725,-0.13847621,0.26781365,0.0843635,-0.26570868,-0.18639539,-0.11743118,0.18323174,0.25714943,-0.29162857
0.29601473,-0.011771814,0.16874924,-0.3028099,-0.3139423,0.22259122,-0.23415947,-0.023142925,0.14170335,0.113882996
-0.14063695,0.11607385,0.011244436,0.077328265,0.26079002,-0.10810115,-0.14571214,0.13110805,-0.13561437,-0.2781085
0.18623213,0.24445197,-0.26561606,0.069668025,-0.20121427,0.24222054,-0.11072055,0.3467124,-0.23777948,0.018391829
-0.022812739,-0.3891616,-0.08428371,-0.010432983,-0.038467698,-0.14449316,0.30247772,-0.35633302,-0.3065156,0.18907358
0.047273997,-0.35210562,-0.0016703404,-0.2519057,0.13045532,-0.124036595,-0.28126633,-0.11939015,0.013913448,0.19568208
0.066476315,-0.056288794,0.044060197,-0.13146782,-0.18549953,0.043622132,-0.060681347,0.02427797,0.10908992,-0.03215353
-0.17565575,-0.3027679,-0.33198848,0.14260049,-0.019549334,0.070843816,0.18043572,0.19985138,0.059736665,-0.110562906
0.15798281,0.13329957,0.13763551,0.20548508,-0.021921804,-0.05313036,-0.20086083,-0.08728599,-0.18163727,-0.11284519
-0.050822362,0.1498392,-0.49978474,-0.31502593,-0.046455756,0.24430165,-0.3145843,-0.23231772,-0.06892749,0.12506627
-0.040735684,0.26606458,0.14903271,-0.08368876,-0.11374583,-0.25391582,0.18121792,-0.10755987,-0.45351043,-0.058899257
-0.27289417,-0.029509284,-0.26368782,0.104178764,-0.11416906,0.019513315,-0.3848637,0.14044058,0.13047531,0.21146406
-0.09530762,-0.46090597,-0.014112316,-0.20739874,0.36110345,-0.06654907,0.26654917,0.05831748,-0.36293334,-0.0831753
0.044557266,-0.29985544,-0.1802748,0.2430462,0.0059414385,0.025638983,-0.0039025538,-0.39703286,0.22316225,0.13637654
0.11591731,-0.123617634,-0.25090763,-0.022761077,0.22986132,0.027024366,-0.17425714,-0.080591656,0.026599921,0.07400257
0.15344535,0.01751499,0.10125774,0.16733953,-0.037851945,0.26834574,0.26114467,-0.27276227,-0.24746734,-0.068550274
0.07182379,-0.075055964,-0.13853624,0.025651058,-0.17745945,-0.15296899,-0.009333367,0.03226925,-0.061302256,-0.42049155
0.006978144,0.31207305,-0.11471842,-0.08421242,0.16551408,0.1389195,0.20221148,-0.08664143,-0.00060642295,-0.12081103
-0.2525027,-0.15091768,-0.1495329,-0.22497551,-0.12610826,0.1319104,0.03924584,0.33055425,0.052601267,-0.18031521
-0.3511357,0.100362495,0.27694312,0.28114665,-0.4032365,0.0028875056,-0.14870928,-0.15495342,0.05686443,-0.25992087
0.24399309,0.086882405,-0.31188145,0.12914112,-0.4253573,0.033467077,-0.15180059,0.12909834,-0.0034831553,0.044184573
0.1954344,0.10299584,-0.3456279,-0.099893786,-0.110599525,0.27342677,0.20854312,-0.17377393,-0.25871992,0.14597572
-0.13581866,-0.078307524,0.01275922,0.16695954,-0.26400197,0.11581176,0.30333215,0.13158551,0.22076462,-0.07454982
-0.0674441,0.16443361,-0.33559808,0.24138153,-0.088616416,0.19450901,-0.17416984,-0.077520095,-0.3601643,0.0053909887
0.1367231,1.5841699e-05,0.06777383,-0.29733926,0.22636583,-0.39813098,-0.25552824,0.10555153,-0.0031365426,0.11680446
0.0638673,-0.017422032,-0.046643097,0.15883012,-0.054452345,0.059173454,0.1642739,-0.11299339,0.21920438,-0.072331645
0.1246617,-0.09994499,0.07711325,0.33063886,0.09396696,0.08350555,0.17778593,0.01570569,-0.0029715835,0.04079871
0.046302736,0.09362268,-0.119546674,0.28919646,-0.1646092,-0.06821383,-0.33766732,0.014184452,0.21083903,0.19116108
-0.33704075,0.19623674,0.18257289,0.068475306,-0.065981336,-0.48568946,0.16702317,0.2724381,-0.27888533,0.11568908
-0.2861829,0.031062324,-0.078958146,0.14000714,-0.26390302,-0.22679423,-0.005837839,-0.07248394,0.27635425,0.04822351
-0.32482284,-0.29512686,-0.1050475,-0.03641659,-0.11563309,0.13817444,-0.17242166,-0.10455416,0.09344945,-0.2053291
0.19267207,-0.064457886,0.31775454,-0.2109391,-0.04231674,-0.20404994,-0.076260895,-0.07347359,-0.4063139,-0.18321179
0.17193794,-0.15038781,0.02862426,-0.022872943,0.058380056,-0.033464145,-0.06845809,-0.17877477,0.16615617,-0.12918648
0.12873806,0.21496521,0.27405336,-0.08787875,0.0537395,-0.12708633,0.11558437,-0.053200956,-0.19693659,-0.1532259
-0.22855683,0.050169956,-0.24349241,0.26383913,-0.11126553,-0.002043748,0.2058705,0.016923074,0.07212845,0.27001664
0.1196412,-0.32288727,0.1068258,0.016567634,0.17498913,-0.024878038,-0.009728002,0.0071043647,-0.22812045,0.06579445
0.009244887,0.21646032,-0.021996973,-0.019562831,-0.22829519,0.16304162,0.11645196,-0.30484444,0.03855463,-0.2533939
0.16147193,0.37261456,-0.029483011,-0.27109697,-0.028008495,-0.065944724,0.009171555,-0.050891213,-0.34295416,0.2511559
0.016117308,0.082946174,0.1692374,-0.3299885,0.11061692,0.17523675,0.18892665,-0.21868584,-0.13200822,-0.17232221
0.20176181,0.124404304,-0.038044225,0.1823433,0.0012725255,0.11066344,0.047298968,0.25773105,-0.057352133,0.20707683
0.013824279,-0.16195294,-0.36059868,-0.3055601,0.09620057,-0.25934508,-0.0047066887,-0.12724803,-0.1969714,-0.061934676
-0.1935475,-0.17294091,-0.12224755,0.03040197,0.10974742,0.12063899,0.21747853,-0.34151325,0.10988261,0.032218006
0.039734855,-0.43146005,-0.0201473,-0.039036985,0.16762257,0.18696733,0.14779414,-0.22790606,-0.0417477,0.30909455
-0.16633236,0.15679394,0.03159718,0.23620981,-0.11611537,0.032787796,-0.14466196,0.09600926,-0.1376835,-0.120052986
-0.32983527,0.02301448,0.15490547,-0.027157914,0.124894425,-0.03068538,0.08480974,0.1295665,0.14694934,0.00907058
-0.27575266,0.07963066,-0.4747722,-0.38114375,-0.01487881,-0.29265463,-0.21288645,0.055901244,-0.36805043,0.22443007
-0.41649547,0.19967961,0.061704487,-0.023823895,-0.18513703,-0.20895557,-0.2588982,0.19393669,-0.066036396,0.15663938
0.09789849,-0.43438435,-0.28169936,-0.114652835,-0.10696592,0.20161061,-0.04850564,-0.05115839,-0.46466312,0.26095286
-0.47471803,0.21436991,-0.25547877,-0.4620793,0.054414988,-0.16148554,0.16860035,-0.64663523,-0.14650135,-0.074741594
0.051437657,0.05025226,0.17026427,0.030040076,-0.08865318,-0.23888716,0.20257463,0.15254033,0.047603022,-0.19954437
-0.20121434,0.2559343,0.16264078,-0.18674946,0.09855484,-0.098230116,0.030405266,0.17712486,-0.2700721,-0.12996154
-0.39242604,0.017105648,-0.062965155,-0.22236058,0.2868116,-0.115813345,-0.25826958,0.19757852,-0.36175606,0.31058514
0.043683812,-0.19864766,-0.060896337,-0.15643911,0.4102212,-0.079896726,-0.10623146,-0.23043233,0.104156524,-0.1848357
